examQuestionId,examId,section,module,route,questionNumber,examSequence,difficulty,responseType,questionText,answer,pictureKey,contentDomain,officialSkill,teachingTopic,answerExplanation,distractorRationale,passageWordCount,estimatedTimeSeconds,autoQAScore,reviewStatus,originalQuestionId,originalMockExam,originalRoute,sourceSimilarityMax,internalSimilarityMax,qaAnswerCheck,qaBlueprintMatch,sourceOutlineUrl,authoringNote
SAT_MOCK_EXAM_1-RW-M1-Q01,sat_mock_exam_1,Reading and Writing,M1,Common,1,1,Easy,Multiple Choice,"A research team studying solar-powered buoys reported that the buoys transmitted storm data even after nearby stations lost power. The repeated result across five field seasons makes the finding especially _______. Which choice completes the text with the most logical and precise word or phrase?
A) robust
B) decorative
C) temporary
D) accidental",A,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “robust”: robust means well supported by repeated evidence.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,45,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q01,Mock A,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q02,sat_mock_exam_1,Reading and Writing,M1,Common,2,2,Easy,Multiple Choice,"A research team studying bilingual street signs reported that residents navigated unfamiliar districts more accurately when both languages appeared. Because the new data agree with two earlier surveys, they _______ the researchers’ original conclusion. Which choice completes the text with the most logical and precise word or phrase?
A) postpone
B) corroborate
C) disguise
D) complicate",B,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “corroborate”: corroborate means provide confirming evidence for.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,48,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q02,Mock A,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q03,sat_mock_exam_1,Reading and Writing,M1,Common,3,3,Easy,Multiple Choice,"Researchers in ecology examined migrating shorebirds. They found that birds paused longer at wetlands with denser insect populations. The team argues that the result identifies a practical condition that future projects should consider. Which choice best states the main purpose of the text?
A) To dispute the reliability of all earlier work in the field
B) To provide a complete history of the subject
C) To describe a study and explain the practical significance of its result
D) To argue that the subject should no longer be studied",C,,Craft and Structure,Text Structure and Purpose,分析句子、例子或段落在全文中的功能,"The text introduces a study, reports its result, and closes by identifying why that result matters in practice.","The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",43,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q03,Mock A,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q04,sat_mock_exam_1,Reading and Writing,M1,Common,4,4,Medium,Multiple Choice,"A research team studying restored peatlands reported that rewetted plots released less carbon during summer droughts. The pilot program did not eliminate flooding, but it did _______ the most severe runoff peaks. Which choice completes the text with the most logical and precise word or phrase?
A) predict
B) imitate
C) document
D) mitigate",D,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “mitigate”: mitigate means make less severe.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,46,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q04,Mock A,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q05,sat_mock_exam_1,Reading and Writing,M1,Common,5,5,Medium,Multiple Choice,"An initial survey of solar-powered buoys produced an unexpected pattern: the buoys transmitted storm data even after nearby stations lost power. To check whether the pattern was a measurement artifact, the researchers repeated the survey with newly calibrated equipment. The same pattern appeared again. Which choice best describes the function of the second sentence in the overall structure of the text?
A) It describes a step taken to test whether the initial result was reliable.
B) It introduces a competing theory that the researchers ultimately accept.
C) It lists the consequences of applying the result outside the study.
D) It explains why the researchers abandoned the initial survey.",A,,Craft and Structure,Text Structure and Purpose,分析句子、例子或段落在全文中的功能,The second sentence describes a replication check designed to rule out measurement error.,"The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",61,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q05,Mock A,Common,0,0.115,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q06,sat_mock_exam_1,Reading and Writing,M1,Common,6,6,Medium,Multiple Choice,"A common account of handwoven textiles emphasizes cost and convenience. Recent work in art history, however, found that weavers varied border patterns to identify regional workshops. This result suggests that the subject’s value cannot be assessed by cost and convenience alone. Which choice best describes the overall structure of the text?
A) It gives two unrelated descriptions and then chooses the older one.
B) It presents a familiar way of evaluating a subject, introduces evidence that the evaluation is incomplete, and draws a broader conclusion.
C) It narrates a failed experiment and proposes repeating it without changes.
D) It defines a technical term and then lists several exceptions to the definition.",B,,Craft and Structure,Text Structure and Purpose,分析句子、例子或段落在全文中的功能,The text moves from a conventional account to evidence that complicates it and then states the implication.,"The incorrect choices either contradict a stated detail, reverse the relationship, or use a related idea imprecisely.",51,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q06,Mock A,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q07,sat_mock_exam_1,Reading and Writing,M1,Common,7,7,Hard,Multiple Choice,"A research team studying handwoven textiles reported that weavers varied border patterns to identify regional workshops. Since only three sites were studied, the authors describe their conclusion as _______. Which choice completes the text with the most logical and precise word or phrase?
A) inevitable
B) exhaustive
C) tentative
D) irrelevant",C,,Craft and Structure,Words in Context,根据上下文辨析近义词的精确含义,The context calls for “tentative”: tentative appropriately signals limited certainty.,Each distractor is grammatically possible but does not express the precise relationship established by the surrounding sentences.,43,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q07,Mock A,Common,0,0.088,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q08,sat_mock_exam_1,Reading and Writing,M1,Common,8,8,Hard,Multiple Choice,"Text 1
Text 1 argues that adding native flowers to small city lots can create useful habitat for insects.

Text 2
Text 2 reports that such lots attract more pollinator species only when they are connected to other green spaces.

Based on the texts, how would the author of Text 2 most likely respond to the claim in Text 1?
A) reject the topic as unworthy of further study
B) agree without adding any qualification or new evidence
C) argue that the evidence discussed in both texts is entirely irrelevant
D) agree that native-flower lots can help insects but would emphasize that surrounding connectivity affects the benefit",D,,Craft and Structure,Cross-Text Connections,推断一位作者会如何评价另一篇文本,Text 2 would agree that native-flower lots can help insects but would emphasize that surrounding connectivity affects the benefit.,The distractors overstate agreement or disagreement or ignore the specific qualification supplied by Text 2.,60,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q08,Mock A,Common,0.057,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q09,sat_mock_exam_1,Reading and Writing,M1,Common,9,9,Easy,Multiple Choice,"A team working in engineering investigated ceramic water filters at several locations. Across the locations, filters made with finer clay removed more sediment but slowed flow. Although the strength of the pattern varied, it appeared in each location, suggesting that the result was not limited to a single site. Which choice best states the main idea of the text?
A) A multisite study of ceramic water filters found a recurring pattern, though the pattern’s strength differed by location.
B) Researchers proved that every feature of ceramic water filters is identical at all locations.
C) A study found no meaningful pattern involving ceramic water filters.
D) Researchers studied ceramic water filters at only one location and warned against comparison.",A,,Information and Ideas,Central Ideas and Details,识别主旨、核心观点和最恰当概括,The correct choice captures both the repeated result and the stated variation across locations.,"The distractors contradict the passage by claiming no pattern, a single site, or complete uniformity.",59,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q09,Mock A,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank.
SAT_MOCK_EXAM_1-RW-M1-Q10,sat_mock_exam_1,Reading and Writing,M1,Common,10,10,Easy,Multiple Choice,"A study compared three approaches involving museum audio guides. The graph shows the average score for each approach after one month. The researchers concluded that the modified approach produced the strongest one-month outcome. Which choice most effectively uses data from the graph to support the researchers’ conclusion?
A) The standard approach scored 28, which was higher than the modified approach.
B) The modified approach had a score of 37, compared with 28 for the standard approach and 31 for the hybrid approach.
C) The hybrid and modified approaches had identical scores.
D) All three approaches scored below 23.",B,https://img.justsolvely.com/followUpImage/17399c1a-e17d-473c-a2c2-ce9a16b75c4d-1786419933202-604.webp,Information and Ideas,Command of Evidence - Quantitative,将表格数据与文本主张对应,The modified approach has the highest value in the graph (37).,Each distractor misreads or contradicts the displayed values.,47,71,100,Auto QA Passed - Human Review Pending,SAT-MOCK-A-RW-M1-Q10,Mock A,Common,0,0,true,true,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,Original mock item; modeled on taxonomy and current Digital SAT blueprint; not copied from the source bank. Figure rendered deterministically in a monochrome SAT-style format with Python and Matplotlib; no answer choice is color-emphasized.
