questionId,questionText,answer,pictureKey,section,contentDomain,officialSkill,teachingTopic,explanation,difficulty,sourceType,sourceUrl
SAT-QB-05575bca,"The following text is adapted from Lewis Carroll's 1871 novel Through the Looking-Glass, and What Alice Found There. Alice, a child, is talking to her cat. ""Do you hear the snow against the window-panes, Kitty? How nice and soft it sounds! Just as if someone was kissing the window all over outside."" As used in the text, what does the word ""soft"" most nearly mean?
A) Gentle
B) Sensitive
C) Shapeless
D) Bland",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-0f040c50,"The following text is from Yann Martel's 2001 novel Life of Pi. The narrator's family owned a zoo when he was a child. It was a huge zoo, spread over numberless acres, big enough to require a train to explore it, though it seemed to get smaller as I grew older, train included. ©2001 by Yann Martel As used in the text, what does the word ""spread"" most nearly mean?
A) Hidden
B) Discussed
C) Extended
D) Coated",C,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-2c82068f,"The following text is from Mark Oshiro's 2018 novel Anger Is a Gift. In the novel, Moss and his friends are on a subway train in Northern California. Lights from the outside world then filled the train car as it rose out of the ground and climbed the elevated track. As long as Moss had lived in West Oakland, he'd never tired of this specific view, so he pointed toward the windows. ""Check it,"" he said, and the Port of Oakland began to pass by them. © 2018 by Mark Oshiro As used in the text, what does the word ""specific"" most nearly mean?
A) Imaginary
B) Energetic
C) Correct
D) Particular",D,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-3566120b,"The following text is adapted from Oscar Wilde's 1895 play The Importance of Being Earnest. CECILY: Have we got to part? ALGERNON: I am afraid so. It's a very painful parting. CECILY: It is always painful to part from people whom one has known for a very brief space of time. The absence of old friends one can endure with equanimity. But even a momentary separation from anyone to whom one has just been introduced is almost unbearable. As used in the text, what does the word ""endure"" most nearly mean?
A) Regret
B) Persist
C) Tolerate
D) Encourage",C,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 3.pdf
SAT-QB-359902ae,"The following text is adapted from Nathaniel Hawthorne's 1837 story ""Dr. Heidegger's Experiment."" The main character, a physician, is experimenting with rehydrating a dried flower. At first [the rose lay lightly on the surface of the fluid, appearing to imbibe none of its moisture. Soon, however, a singular change began to be visible. The crushed and dried petals stirred and assumed a deepening tinge of crimson, as if the flower were reviving from a deathlike slumber. As used in the text, what does the phrase ""a singular"" most nearly mean?
A) A lonely
B) A disagreeable
C) An acceptable
D) An extraordinary",D,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-417f8dfa,"The following text is from Darcie Little Badger's 2021 novel A Snake Falls to Earth. Nina is looking at old family photographs. Nina couldn't stop looking at the sepia-toned photograph in an oak frame. Propped on the window ledge, it featured a portrait of Great-Great-Grandmother Rosita as a young woman. ©2021 by Darcie Little Badger As used in the text, what does the word ""featured"" most nearly mean?
A) Displayed
B) Questioned
C) Approved
D) Ignored",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-4480fae9,"The following text is adapted from Sui Sin Far's 1912 short story ""Mrs. Spring Fragrance."" Mr. and Mrs. Spring Fragrance immigrated to the United States from China. Mrs. Spring Fragrance was unaware that Mr. Spring Fragrance, tired with the day's business, had thrown himself down on the bamboo settee on the veranda, and that although his eyes were engaged in scanning the pages of the Chinese World, his ears could not help receiving the words which were borne to him through the open window. As used in the text, what does the word ""receiving"" most nearly mean?
A) Denying
B) Entering
C) Carrying
D) Hearing",D,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-45a109a3,"The following text is from Bram Stoker's 1897 novel Dracula. The narrator is being driven in a carriage through a remote region at night. The baying of the wolves sounded nearer and nearer, as though they were closing round on us from every side. I grew dreadfully afraid, and the horses shared my fear. The driver, however, was not in the least disturbed; he kept turning his head to left and right, but I could not see anything through the darkness. As used in the text, what does the word ""disturbed"" most nearly mean?
A) Disorganized
B) Alarmed
C) Offended
D) Interrupted",B,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
SAT-QB-62a18353,"The following text is adapted from Zora Neale Hurston's 1921 short story ""John Redding Goes to Sea."" John wants to travel far beyond the village where he lives near his mother, Matty. [John] had on several occasions attempted to reconcile his mother to the notion, but found it a difficult task. Matty always took refuge in self-pity and tears. Her son's desires were incomprehensible to her, that was all. As used in the text, what does the phrase ""reconcile his mother to"" most nearly mean?
A) Get his mother to accept
B) Get his mother to apologize for
C) Get his mother to match
D) Get his mother to reunite with",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 2.pdf
SAT-QB-6cf906fc,"The following text is adapted from José Martí's 1891 poem ""At the Salon"" (translated by Cecil Charles in 1898). The speaker describes a painting featuring a female figure. From the sterile soil no ray Of hope in a blade of green, Nor sheltering roof is seen- Though the skies are heavy and gray. Ah, this is the woman fair Who stole away my heart In the splendid halls of art Yester-e'en as I wandered there! As used in the text, what does the word ""sheltering"" most nearly mean?
A) Protective
B) Restrictive
C) Affectionate
D) Suspicious",A,,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,,,Existing-Downloads,/Users/mac/Downloads/Reading and Writing/Craft and Structure/Words in Context/Words in Context 1.pdf
