examQuestionId,examId,section,sectionOrder,questionNumber,examSequence,passageId,passageTitle,passageType,itemStatus,isScored,isOptionalSection,difficulty,responseType,questionText,choice1,choice2,choice3,choice4,answer,answerChoicePosition,pictureKey,contentDomain,officialSkill,secondaryClassification,teachingTopic,answerExplanation,distractorRationale,passageWordCount,estimatedTimeSeconds,internalSimilarityMax,qaAnswerCheck,qaBlueprintMatch,autoQAScore,reviewStatus,sourceOutlineUrl,officialReferenceUrl,authoringNote,maximumRawPoints,scoringRubric,imageAssetKey,imageSourceUrl,imageLicense,workIdentifiers
AP_CALCULUS_BC_M1-1-Q001,ap_calculus_bc_mock_exam_1,Multiple Choice,1,1,1,ap_calculus_bc_mock_exam_1-1-SET-01,Limits and Continuity stimulus 1,Original visual stimulus set,Candidate,true,false,Easy,Multiple Choice,"A function approaches the same finite value from both sides of x=a, but f(a) is undefined.

Which statement most accurately explains the relevant course concept?",The concept is correctly explained because no definition can make the function continuous.,The concept is correctly explained because defining f(a) to equal the limit creates a removable continuous extension.,The concept is correctly explained because the limit must be infinite.,The concept is correctly explained because continuity depends only on the derivative at a.,B,2,https://img.justsolvely.com/followUpImage/9d42bc84-9fdb-4534-a16a-05b7a46b161f-1786446189015-626.webp,Limits and Continuity,Mathematical/Computational Practices,Stimulus-based math and computer science reasoning,Limits and Continuity,A removable discontinuity is repaired by matching the function value to the limit.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",16,143,0.548,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS01,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Limits and Continuity
AP_CALCULUS_BC_M1-1-Q002,ap_calculus_bc_mock_exam_1,Multiple Choice,1,2,2,ap_calculus_bc_mock_exam_1-1-SET-01,Limits and Continuity stimulus 1,Original visual stimulus set,Candidate,true,false,Easy,Multiple Choice,"A function approaches the same finite value from both sides of x=a, but f(a) is undefined.

A student uses the case as evidence in an argument. Which claim is most defensible?",A defensible claim is that no definition can make the function continuous.,A defensible claim is that the limit must be infinite.,A defensible claim is that defining f(a) to equal the limit creates a removable continuous extension.,A defensible claim is that continuity depends only on the derivative at a.,C,3,https://img.justsolvely.com/followUpImage/9d42bc84-9fdb-4534-a16a-05b7a46b161f-1786446189015-626.webp,Limits and Continuity,Representations,Stimulus-based math and computer science reasoning,Limits and Continuity,A removable discontinuity is repaired by matching the function value to the limit.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",16,143,0.529,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS01,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Limits and Continuity
AP_CALCULUS_BC_M1-1-Q003,ap_calculus_bc_mock_exam_1,Multiple Choice,1,3,3,ap_calculus_bc_mock_exam_1-1-SET-01,Limits and Continuity stimulus 1,Original visual stimulus set,Candidate,true,false,Medium,Multiple Choice,"A function approaches the same finite value from both sides of x=a, but f(a) is undefined.

Which interpretation best connects the evidence to the governing principle?",The evidence supports the interpretation that no definition can make the function continuous.,The evidence supports the interpretation that the limit must be infinite.,The evidence supports the interpretation that continuity depends only on the derivative at a.,The evidence supports the interpretation that defining f(a) to equal the limit creates a removable continuous extension.,D,4,https://img.justsolvely.com/followUpImage/9d42bc84-9fdb-4534-a16a-05b7a46b161f-1786446189015-626.webp,Limits and Continuity,Procedural Execution,Stimulus-based math and computer science reasoning,Limits and Continuity,A removable discontinuity is repaired by matching the function value to the limit.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",16,143,0.548,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS01,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Limits and Continuity
AP_CALCULUS_BC_M1-1-Q004,ap_calculus_bc_mock_exam_1,Multiple Choice,1,4,4,ap_calculus_bc_mock_exam_1-1-SET-02,Contextual Applications of Differentiation stimulus 2,Original visual stimulus set,Candidate,true,false,Medium,Multiple Choice,"A particle's acceleration and velocity have opposite signs on an interval.

Which statement most accurately explains the relevant course concept?",The concept is correctly explained because the particle's speed decreases on that interval.,The concept is correctly explained because the particle must move in the positive direction.,The concept is correctly explained because the speed increases because acceleration is nonzero.,The concept is correctly explained because the particle's position is constant.,A,1,https://img.justsolvely.com/followUpImage/af1b419c-8387-441b-9664-1932683ded35-1786446190358-230.webp,Contextual Applications of Differentiation,Justification,Stimulus-based math and computer science reasoning,Contextual Applications of Differentiation,Opposite velocity and acceleration signs reduce the magnitude of velocity.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",11,143,0.5,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS02,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Contextual Applications of Differentiation
AP_CALCULUS_BC_M1-1-Q005,ap_calculus_bc_mock_exam_1,Multiple Choice,1,5,5,ap_calculus_bc_mock_exam_1-1-SET-02,Contextual Applications of Differentiation stimulus 2,Original visual stimulus set,Candidate,true,false,Medium,Multiple Choice,"A particle's acceleration and velocity have opposite signs on an interval.

A student uses the case as evidence in an argument. Which claim is most defensible?",A defensible claim is that the particle must move in the positive direction.,A defensible claim is that the particle's speed decreases on that interval.,A defensible claim is that the speed increases because acceleration is nonzero.,A defensible claim is that the particle's position is constant.,B,2,https://img.justsolvely.com/followUpImage/af1b419c-8387-441b-9664-1932683ded35-1786446190358-230.webp,Contextual Applications of Differentiation,Modeling,Stimulus-based math and computer science reasoning,Contextual Applications of Differentiation,Opposite velocity and acceleration signs reduce the magnitude of velocity.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",11,143,0.552,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS02,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Contextual Applications of Differentiation
AP_CALCULUS_BC_M1-1-Q006,ap_calculus_bc_mock_exam_1,Multiple Choice,1,6,6,ap_calculus_bc_mock_exam_1-1-SET-02,Contextual Applications of Differentiation stimulus 2,Original visual stimulus set,Candidate,true,false,Medium,Multiple Choice,"A particle's acceleration and velocity have opposite signs on an interval.

Which interpretation best connects the evidence to the governing principle?",The evidence supports the interpretation that the particle must move in the positive direction.,The evidence supports the interpretation that the speed increases because acceleration is nonzero.,The evidence supports the interpretation that the particle's speed decreases on that interval.,The evidence supports the interpretation that the particle's position is constant.,C,3,https://img.justsolvely.com/followUpImage/af1b419c-8387-441b-9664-1932683ded35-1786446190358-230.webp,Contextual Applications of Differentiation,Mathematical/Computational Practices,Stimulus-based math and computer science reasoning,Contextual Applications of Differentiation,Opposite velocity and acceleration signs reduce the magnitude of velocity.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",11,143,0.5,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS02,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Contextual Applications of Differentiation
AP_CALCULUS_BC_M1-1-Q007,ap_calculus_bc_mock_exam_1,Multiple Choice,1,7,7,ap_calculus_bc_mock_exam_1-1-SET-03,Differential Equations stimulus 3,Original visual stimulus set,Candidate,true,false,Medium,Multiple Choice,"A logistic model satisfies dP/dt=kP(1-P/K).

Which statement most accurately explains the relevant course concept?",The concept is correctly explained because growth is constant for all P.,The concept is correctly explained because p=K is an unstable point with positive growth.,The concept is correctly explained because the model has no carrying capacity.,The concept is correctly explained because growth is fastest when P=K/2 and slows as P approaches K.,D,4,https://img.justsolvely.com/followUpImage/01a984c1-2f51-4a65-840f-fecd420eaaa1-1786446191903-255.webp,Differential Equations,Representations,Stimulus-based math and computer science reasoning,Differential Equations,The logistic growth term is maximized at half the carrying capacity.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",5,143,0.462,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS03,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Differential Equations
AP_CALCULUS_BC_M1-1-Q008,ap_calculus_bc_mock_exam_1,Multiple Choice,1,8,8,ap_calculus_bc_mock_exam_1-1-SET-03,Differential Equations stimulus 3,Original visual stimulus set,Candidate,true,false,Medium,Multiple Choice,"A logistic model satisfies dP/dt=kP(1-P/K).

A student uses the case as evidence in an argument. Which claim is most defensible?",A defensible claim is that growth is fastest when P=K/2 and slows as P approaches K.,A defensible claim is that growth is constant for all P.,A defensible claim is that p=K is an unstable point with positive growth.,A defensible claim is that the model has no carrying capacity.,A,1,https://img.justsolvely.com/followUpImage/01a984c1-2f51-4a65-840f-fecd420eaaa1-1786446191903-255.webp,Differential Equations,Procedural Execution,Stimulus-based math and computer science reasoning,Differential Equations,The logistic growth term is maximized at half the carrying capacity.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",5,143,0.517,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS03,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Differential Equations
AP_CALCULUS_BC_M1-1-Q009,ap_calculus_bc_mock_exam_1,Multiple Choice,1,9,9,ap_calculus_bc_mock_exam_1-1-SET-03,Differential Equations stimulus 3,Original visual stimulus set,Candidate,true,false,Hard,Multiple Choice,"A logistic model satisfies dP/dt=kP(1-P/K).

Which interpretation best connects the evidence to the governing principle?",The evidence supports the interpretation that growth is constant for all P.,The evidence supports the interpretation that growth is fastest when P=K/2 and slows as P approaches K.,The evidence supports the interpretation that p=K is an unstable point with positive growth.,The evidence supports the interpretation that the model has no carrying capacity.,B,2,https://img.justsolvely.com/followUpImage/01a984c1-2f51-4a65-840f-fecd420eaaa1-1786446191903-255.webp,Differential Equations,Justification,Stimulus-based math and computer science reasoning,Differential Equations,The logistic growth term is maximized at half the carrying capacity.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",5,143,0.462,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,AP_CALCULUS_BC_M1_VIS03,,Original diagram generated with Python/Pillow for this mock exam.,AP Calculus BC | Differential Equations
AP_CALCULUS_BC_M1-1-Q010,ap_calculus_bc_mock_exam_1,Multiple Choice,1,10,10,ap_calculus_bc_mock_exam_1-1-SET-04,Infinite Sequences and Series stimulus 4,Original text stimulus set,Candidate,true,false,Hard,Multiple Choice,"A power series has radius of convergence R.

Which statement most accurately explains the relevant course concept?",The concept is correctly explained because it diverges at every endpoint and inside the interval.,The concept is correctly explained because the radius determines endpoint behavior automatically.,"The concept is correctly explained because inside |x-a|<R it converges absolutely, while endpoints require separate tests.",The concept is correctly explained because absolute convergence occurs only outside the radius.,C,3,,Infinite Sequences and Series,Modeling,Stimulus-based math and computer science reasoning,Infinite Sequences and Series,Power-series endpoint behavior is not determined by the radius alone.,"The three distractors reverse the relationship, overgeneralize beyond the evidence, or invoke a neighboring but inapplicable concept.",8,143,0.567,true,true,0.92,Candidate pool — automated QA passed; SME editorial review and pilot calibration required,https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,Original parallel mock item. Modeled on the current official AP course framework and public exam format; no official question text is reproduced. Automated blueprint and key checks are complete; subject-matter editorial review and student pilot data are still required before operational use.,1,1 point for the correct answer; 0 points otherwise.,,,,AP Calculus BC | Infinite Sequences and Series
