id,section,reporting_category,content_domain,topic_group,atomic_topic_zh,atomic_topic_en,title,strategy_name,video_url,cover_url
APMCS-APCA-001,AP Calculus AB,Determine Expressions and Values,Calculus AB,Unit 1: Limits and Continuity,由表格与图像求极限,Limits from Tables and Graphs,Match One-Sided Approaches to Determine Limit,Two-sides same,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-001/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-001/cover.png
APMCS-APCA-002,AP Calculus AB,Translate Representations,Calculus AB,Unit 1: Limits and Continuity,极限的代数求值,Algebraic Evaluation of Limits,Restructure Indeterminate Forms to Evaluate Limits,Detect and Restructure,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-002/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-002/cover.png
APMCS-APCA-003,AP Calculus AB,Justify Reasoning and Solutions,Calculus AB,Unit 1: Limits and Continuity,连续性与介值定理,Continuity and the Intermediate Value Theorem,Match Limit to Value then Apply IVT,Limit-equals-value,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-003/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-003/cover.png
APMCS-APCA-004,AP Calculus AB,Communicate Results and Solutions,Calculus AB,Unit 1: Limits and Continuity,无穷极限与渐近线,Infinite limits and asymptotes,Scan and Test Infinite Limits for Asymptotes,Asymptote scan,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-004/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-004/cover.png
APMCS-APCA-005,AP Calculus AB,Determine Expressions and Values,Calculus AB,Unit 2: Differentiation—Definition and Fundamental Properties,导数的极限定义,Derivative as a Limit,Simplify Difference Quotient to Find Tangent Slope,Limit-Quotient Triad,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-005/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-005/cover.png
APMCS-APCA-006,AP Calculus AB,Translate Representations,Calculus AB,Unit 2: Differentiation—Definition and Fundamental Properties,可导性与连续性,Differentiability and Continuity at a Point,Match Values then Slopes to Decide Differentiability,Limit-then-slopes check,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-006/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-006/cover.png
APMCS-APCA-007,AP Calculus AB,Justify Reasoning and Solutions,Calculus AB,Unit 2: Differentiation—Definition and Fundamental Properties,基本求导法则,Basic derivative rules,Match Rules and Differentiate to Evaluate Rates,Rule-first Derivative,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-007/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-007/cover.png
APMCS-APCA-008,AP Calculus AB,Communicate Results and Solutions,Calculus AB,Unit 2: Differentiation—Definition and Fundamental Properties,高阶导数,Higher-Order Derivatives,Differentiate Twice to Report Acceleration with Units,Differentiate then interpret,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-008/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-008/cover.png
APMCS-APCA-009,AP Calculus AB,Determine Expressions and Values,Calculus AB,"Unit 3: Differentiation—Composite, Implicit, and Inverse Functions",链式法则,Chain Rule for composite functions,Differentiate Outside Then Inside to Find Derivative,Outside-then-inside,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-009/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-009/cover.png
APMCS-APCA-010,AP Calculus AB,Translate Representations,Calculus AB,"Unit 3: Differentiation—Composite, Implicit, and Inverse Functions",隐函数求导,Implicit Differentiation,Differentiate Implicitly and Solve for Slope,Mark the y factors,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-010/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/ap/math-computer-science/atomic-videos/APMCS-APCA-010/cover.png
