id,section,domain,skill,atomic_topic_zh,atomic_topic_en,title,strategy_name,video_url,cover_url
sat-rw-001,Reading and Writing,Craft and Structure,Words in Context,根据上下文判断单词或短语含义,Determine a word or phrase's meaning from context,Decode Word Meaning From Context Clues,Nearby Clues Scan,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-001/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-001/cover.png
sat-rw-002,Reading and Writing,Craft and Structure,Words in Context,辨析近义词的精确程度、感情色彩和语气,"Distinguish near‑synonyms by precision, connotation, and tone",Distinguish Near-Synonyms by Connotation,Connotation-Precision Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-002/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-002/cover.png
sat-rw-003,Reading and Writing,Craft and Structure,Words in Context,选择最符合句意和文体的词语,Choose the word or phrase that best fits a sentence's meaning and tone,Compare Word Choice To Sentence Tone,Tone+Meaning Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-003/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-003/cover.png
sat-rw-004,Reading and Writing,Craft and Structure,Text Structure and Purpose,识别作者的主要目的和写作意图,Identify the author's primary purpose and intent,Tag An Author's Primary Purpose,PURPOSE TAG,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-004/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-004/cover.png
sat-rw-005,Reading and Writing,Craft and Structure,Text Structure and Purpose,分析句子、例子或段落在全文中的功能,"Analyze the function of a sentence, example, or paragraph in the passage",Analyze Sentence Function In Context,Local Role Tagging,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-005/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-005/cover.png
sat-rw-006,Reading and Writing,Craft and Structure,Text Structure and Purpose,识别文本组织方式、论证结构和修辞策略,"Identify text organization patterns, argument structure, and rhetorical strategy",Map Paragraph Organization and Rhetoric,Signal-Map-and-Label,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-006/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-006/cover.png
sat-rw-007,Reading and Writing,Craft and Structure,Cross-Text Connections,比较两篇文本的观点、结论和证据,"Compare two texts' viewpoints, conclusions, and supporting evidence",Compare Texts' Viewpoints And Evidence,Claim–Evidence Pairing,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-007/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-007/cover.png
sat-rw-008,Reading and Writing,Craft and Structure,Cross-Text Connections,判断作者之间的一致、分歧或回应关系,"Judge whether two authors agree, disagree, or respond to each other",Compare Author Claims Across Texts,Claim-Target Comparison,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-008/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-008/cover.png
sat-rw-009,Reading and Writing,Craft and Structure,Cross-Text Connections,推断一位作者会如何评价另一篇文本,Infer how one author would evaluate another text,Infer One Author's Evaluation of Another,Author-Evaluation Mapping,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-009/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-009/cover.png
sat-rw-010,Reading and Writing,Information and Ideas,Central Ideas and Details,识别主旨、核心观点和最恰当概括,Identify the passage's main idea or best brief summary,Interpret the Passage's Core Sentence,Core-Sentence Summary,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-010/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-010/cover.png
sat-rw-011,Reading and Writing,Information and Ideas,Central Ideas and Details,定位明确细节及人物、事件、观点之间的关系,"Locate a specific detail and the relationship among people, events, and viewpoints",Trace Relationships Between Named Entities,Relation-Spot Map,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-011/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-011/cover.png
sat-rw-012,Reading and Writing,Information and Ideas,Central Ideas and Details,区分主要信息与次要信息,Distinguish main idea from supporting details,Compare Main Idea And Supporting Details,Main-Point Filter,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-012/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-012/cover.png
sat-rw-013,Reading and Writing,Information and Ideas,Command of Evidence — Textual,选择最能支持或削弱某项结论的文本证据,Choose the sentence that best supports or weakens a stated conclusion,Target Sentences To Support Or Weaken,Evidence Targeting,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-013/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-013/cover.png
sat-rw-014,Reading and Writing,Information and Ideas,Command of Evidence — Textual,判断研究发现、引文或例子与论点的关系,"Judge how a study result, quotation, or example relates to an author's claim",Judge Evidence Relation to Claims,Evidence-Relation Scan,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-014/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-014/cover.png
sat-rw-015,Reading and Writing,Information and Ideas,Command of Evidence — Textual,补全最符合现有证据的论证,Choose the sentence that best completes an argument consistent with the given evidence,Complete Arguments With Evidence Match,Evidence-Match Completion,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-015/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-015/cover.png
sat-rw-016,Reading and Writing,Information and Ideas,Command of Evidence — Quantitative,读取表格、柱状图和折线图,"Read numeric values from tables, bar charts, and line graphs",Interpret Numeric Values From Graphs,Direct-Read-and-Compute,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-016/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-016/cover.png
sat-rw-017,Reading and Writing,Information and Ideas,Command of Evidence — Quantitative,将图表数据与文本主张对应,Match chart data to a textual claim,Match Chart Data to Claims,Targeted Value Check,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-017/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-017/cover.png
sat-rw-018,Reading and Writing,Information and Ideas,Command of Evidence — Quantitative,选择得到定量证据支持的结论,Choose a conclusion directly supported by quantitative evidence,Compare Numeric Claims To Evidence,Number-to-Statement Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-018/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-018/cover.png
sat-rw-019,Reading and Writing,Information and Ideas,Inferences,根据文本证据作合理推断,Make a reasonable inference supported by textual evidence,Infer Conclusions From Textual Evidence,Evidence-Supported Inference,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-019/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-019/cover.png
sat-rw-020,Reading and Writing,Information and Ideas,Inferences,完成逻辑上最合理的句子或结论,Complete the most logically reasonable sentence or conclusion,Complete Sentences With Local Logic,Local Logic Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-020/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-020/cover.png
sat-rw-021,Reading and Writing,Information and Ideas,Inferences,识别文章隐含但未直接陈述的信息,Identify information implied but not directly stated,Interpret Implied Ideas From Anchors,Implicit-Anchor Strategy,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-021/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-021/cover.png
sat-rw-022,Reading and Writing,Standard English Conventions,Boundaries,独立分句、从属分句与短语结构,"Recognize independent clauses, subordinate clauses, and phrase structures",Identify Clauses and Phrase Structures,Clause-Type Scan,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-022/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-022/cover.png
sat-rw-023,Reading and Writing,Standard English Conventions,Boundaries,句子残缺、粘连句和 comma splice,"Sentence fragments, run-ons, and comma splices",Revise Sentence Fragments and Comma Splices,Independent-Clause Split Test,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-023/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-023/cover.png
sat-rw-024,Reading and Writing,Standard English Conventions,Boundaries,句号、分号、冒号、破折号和逗号的使用,"Using periods, semicolons, colons, dashes, and commas to mark sentence boundaries",Choose Sentence-Finishing Punctuation Precisely,Punctuation-Purpose Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-024/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-024/cover.png
sat-rw-025,Reading and Writing,Standard English Conventions,Boundaries,非限制性信息、插入语和同位语的标点,"Punctuating nonrestrictive information, parenthetical elements, and appositives",Bracket Nonrestrictive Phrases With Commas,Bracket the Extra Info,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-025/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-025/cover.png
sat-rw-026,Reading and Writing,Standard English Conventions,"Form, Structure, and Sense",主谓一致与动词时态、语态和形式,"Subject-verb agreement with verb tense, voice, and form",Align Verb Form With Time Markers,Tense-Form Match,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-026/lesson.html,https://solve-now.s3.us-west-2.amazonaws.com/sat/atomic-videos/sat-rw-026/cover.png
