questionId,subject,section,topicGroup,atomicTopic,atomicTopicZh,contentDomain,topicWeight,officialSkill,skillWeight,questionType,passageId,passageTitle,passageType,passageText,passageWordCount,questionText,choice1,choice2,choice3,choice4,answer,answerChoicePosition,answerExplanation,scoringRubric,difficulty,estimatedTimeSeconds,pictureKey,audioKey,assetRequirement,sourceOutlineUrl,officialReferenceUrl,courseReferenceUrl,frameworkVersion,authoringNote,maximumRawPoints,reviewStatus,itemOrigin
APCBC-001-01,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Determine Expressions and Values,MCQ 50%–70%; FRQ 35%–60%,Multiple Choice,APCBC-001-01-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 01,Analytical representation,"Original mathematical practice record APCBC-001-01. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 4. One output is 17, a reported rate is 3.4, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which procedure or value is mathematically consistent in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 01”?,Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,"Higher-Order Derivatives: Successive derivatives describe changing rates, such as velocity from position and acceleration from velocity, with units changing at each differentiation.","Particle Motion: Position, velocity, speed, and acceleration are connected through derivatives, and direction changes occur when velocity changes sign.","Definite Integrals and the Fundamental Theorem: The Fundamental Theorem connects accumulation, antiderivatives, and net change and provides methods to evaluate definite integrals.",A,1,Choice A is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Easy,70,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-02,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Translate Representations,MCQ 15%–30%; FRQ 10%–20%,Multiple Choice,APCBC-001-02-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 02,Table description,"Original mathematical practice record APCBC-001-02. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 7. One output is 5, a reported rate is 4.1, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which relationship connects the verbal and symbolic information in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 02”?,Chain Rule: The derivative of a composite function multiplies the derivative of the outer function evaluated at the inner function by the inner derivative.,Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,"Local Linearity and L'Hospital's Rule: A differentiable function is locally approximated by its tangent line, while eligible indeterminate quotients may be evaluated by comparing derivatives.","Antiderivatives and Substitution: Antiderivatives reverse differentiation, and substitution recognizes a composite integrand paired with an inner derivative.",B,2,Choice B is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Medium,85,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-03,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Justify Reasoning and Solutions,MCQ 10%–20%; FRQ 35%–60%,Multiple Choice,APCBC-001-03-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 03,Graph description,"Original mathematical practice record APCBC-001-03. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 10. One output is 10, a reported rate is 4.8, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which reasoning best supports the conclusion in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 03”?,"Implicit Differentiation: When variables are related implicitly, differentiating both sides with respect to the independent variable introduces derivative factors for dependent-variable terms.",Mean Value and Extreme Value Theorems: Theorems guarantee extrema or a derivative equal to an average rate only when their continuity and differentiability hypotheses are satisfied.,Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,"Numerical Integration and Error Direction: Trapezoidal and midpoint approximations use tabular data, and concavity or monotonicity can determine likely over- or underestimation.",C,3,Choice C is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Medium,95,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-04,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Communicate Results and Solutions,"FRQ only, 10%–25%",Multiple Choice,APCBC-001-04-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 04,Contextual model,"Original mathematical practice record APCBC-001-04. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 4. One output is 15, a reported rate is 5.5, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which written response is mathematically precise in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 04”?,Derivatives of Inverse Functions: The derivative of an inverse at an output is the reciprocal of the original derivative at the corresponding input when that derivative is nonzero.,"Increasing, Decreasing, and Critical Points: The sign of the first derivative determines intervals of increase and decrease and helps classify local extrema at critical points.","Integration by Parts and Partial Fractions: Integration by parts reverses the product rule, while partial fractions decomposes rational functions into simpler integrable terms.",Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,D,4,Choice D is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Hard,110,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-05,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Determine Expressions and Values,MCQ 50%–70%; FRQ 35%–60%,Multiple Choice,APCBC-001-05-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 05,Student solution,"Original mathematical practice record APCBC-001-05. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 7. One output is 20, a reported rate is 6.2, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which procedure or value is mathematically consistent in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 05”?,Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,"Exponential, Logarithmic, and Inverse Trigonometric Derivatives: Standard derivatives for exponential, logarithmic, and inverse trigonometric functions combine with product, quotient, and chain rules.","Concavity and Inflection Points: The sign of the second derivative determines concavity, and an inflection point requires an actual change in concavity.",Improper Integrals: An improper integral is defined by a limit at an infinite bound or unbounded integrand and converges only when that limit is finite.,A,1,Choice A is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Easy,70,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-06,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Translate Representations,MCQ 15%–30%; FRQ 10%–20%,Multiple Choice,APCBC-001-06-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 06,Calculator-output description,"Original mathematical practice record APCBC-001-06. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 10. One output is 8, a reported rate is 6.9, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which relationship connects the verbal and symbolic information in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 06”?,"Interpreting Derivatives in Context: A contextual derivative must identify the rate, input, units, and meaning at the specified instant rather than report only a number.",Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,"Optimization and Curve Analysis: Optimization converts constraints into a one-variable objective and compares critical and endpoint values, while derivative signs organize a complete curve analysis.","Slope Fields and Solution Curves: A slope field displays the derivative prescribed at each point, and solution curves must follow those local slopes without crossing incompatible directions.",B,2,Choice B is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Medium,85,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-07,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Justify Reasoning and Solutions,MCQ 10%–20%; FRQ 35%–60%,Multiple Choice,APCBC-001-07-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 07,Analytical representation,"Original mathematical practice record APCBC-001-07. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 4. One output is 13, a reported rate is 7.6, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which reasoning best supports the conclusion in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 07”?,"Related Rates: Related-rates problems differentiate a constraint connecting changing quantities, then substitute simultaneous values and known rates.","Riemann Sums: Left, right, midpoint, and general Riemann sums approximate accumulated change by adding products of values and subinterval widths.",Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,"Separable Differential Equations: A separable equation can be rearranged into single-variable factors, integrated, and combined with an initial condition to determine a particular solution.",C,3,Choice C is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Medium,95,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-08,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Communicate Results and Solutions,"FRQ only, 10%–25%",Multiple Choice,APCBC-001-08-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 08,Table description,"Original mathematical practice record APCBC-001-08. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 7. One output is 18, a reported rate is 2.2, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which written response is mathematically precise in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 08”?,"Particle Motion: Position, velocity, speed, and acceleration are connected through derivatives, and direction changes occur when velocity changes sign.","Definite Integrals and the Fundamental Theorem: The Fundamental Theorem connects accumulation, antiderivatives, and net change and provides methods to evaluate definite integrals.","Initial Conditions and Euler's Method: An initial condition selects one solution from a family, and Euler's method advances by repeatedly using slope times step size.",Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,D,4,Choice D is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Hard,110,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-09,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Determine Expressions and Values,MCQ 50%–70%; FRQ 35%–60%,Multiple Choice,APCBC-001-09-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 09,Graph description,"Original mathematical practice record APCBC-001-09. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 10. One output is 6, a reported rate is 2.9, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which procedure or value is mathematically consistent in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 09”?,Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,"Local Linearity and L'Hospital's Rule: A differentiable function is locally approximated by its tangent line, while eligible indeterminate quotients may be evaluated by comparing derivatives.","Antiderivatives and Substitution: Antiderivatives reverse differentiation, and substitution recognizes a composite integrand paired with an inner derivative.","Exponential Growth and Decay: When a rate of change is proportional to the current amount, the solution is exponential and its constant is determined by contextual data.",A,1,Choice A is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Easy,70,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
APCBC-001-10,AP Calculus BC,AP Math and Computer Science,Unit 1: Limits and Continuity,Limits from Tables and Graphs,由表格与图像求极限,Calculus BC,5%–10%,Translate Representations,MCQ 15%–30%; FRQ 10%–20%,Multiple Choice,APCBC-001-10-SRC,AP Calculus BC — Limits from Tables and Graphs — Practice Record 10,Contextual model,"Original mathematical practice record APCBC-001-10. A function-based model involving Limits from Tables and Graphs is represented analytically and by a table near input x = 4. One output is 11, a reported rate is 3.6, and all unmentioned domain and differentiability conditions required by the task are stated to hold. Students must connect procedures, representations, and justification rather than infer a graph from an image.",65,Which relationship connects the verbal and symbolic information in “AP Calculus BC — Limits from Tables and Graphs — Practice Record 10”?,Mean Value and Extreme Value Theorems: Theorems guarantee extrema or a derivative equal to an average rate only when their continuity and differentiability hypotheses are satisfied.,Limits from Tables and Graphs: A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input.,"Numerical Integration and Error Direction: Trapezoidal and midpoint approximations use tabular data, and concavity or monotonicity can determine likely over- or underestimation.","Logistic Differential Equations: Logistic growth includes a carrying capacity, has maximum growth at half that capacity, and approaches equilibrium rather than increasing without bound.",B,2,Choice B is best because A limit describes the value approached by a function and can be estimated from values or graph behavior on both sides of the input. The other options invoke different atomic topics and do not satisfy the record's stated target as directly.,1 point for the keyed response; 0 points for any other response.,Medium,85,,,"None; formulas, code, tables, graphs, and calculator output needed for this item are represented as accessible text in passageText.",https://pf6xrzskv9.feishu.cn/docx/I4kbdmNLKo2UYvxnaNecwqPBnre?from=from_copylink,https://apcentral.collegeboard.org/courses/ap-calculus-bc/exam,https://apcentral.collegeboard.org/courses/ap-calculus-bc,"2026–27 CED; May 2027 MCQ count/timing update applied; AB subscore treated as score component, not a course",Original AP-aligned parallel practice. It does not reproduce an official released item and should receive subject-matter review before high-stakes use.,1,Generated—SME review recommended,Original parallel practice
